id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1394532,KT 1   inner city ( house ),3564414,Paris,,Sydney,-33.89505,151.21252,Private room,55,90,33,2018-05-14,0.30,2,91,0,
869512,Charming cottage,4581304,Jesse,,Sydney,-33.88306,151.21162,Entire home/apt,135,90,58,2021-08-23,0.49,1,232,0,
1394990,Modern 2 bed /  2 bathroom apartment,7539151,Holly,,Sydney,-33.87245,151.21646,Entire home/apt,350,90,30,2018-04-02,0.27,1,127,0,
869528,Fabulous 2-bed apt in Potts Point,4581519,Rob,,Sydney,-33.87333,151.22371,Entire home/apt,299,7,7,2020-01-02,0.06,1,0,0,PID-STRA-24822
475512,"Sunny Bondi Studio with Garage, Pool and Balcony",2357596,Loretta,,Waverley,-33.89375,151.26337,Entire home/apt,115,10,76,2022-09-01,0.61,1,198,7,PID-STRA-2073
491774,Entire 2BDR flat@Bondi Beach,2430529,Dagmar,,Waverley,-33.89332,151.27289,Entire home/apt,250,90,3,2018-04-17,0.04,2,179,0,
1408891,Glebe 2 Bd   city views /parking,7598416,Penny,,Sydney,-33.8784,151.18658,Entire home/apt,323,90,12,2020-01-03,0.11,1,365,0,
496747,"Bondi, Sydney, room in cosy flat",2453312,Kit,,Waverley,-33.89283,151.26773,Private room,70,90,1,2016-01-03,0.01,1,0,0,
1409169,Modern Beach House,7600155,Jason,,Warringah,-33.76078,151.29728,Entire home/apt,1650,10,2,2020-01-03,0.02,1,34,0,PID-STRA-13538
498008,In The Heart of Sydney CBD ! WIFI,2351093,Mirko,,Sydney,-33.8634,151.21103,Entire home/apt,276,3,394,2022-08-22,3.31,1,197,30,PID-STRA-10317
871059,Apartment on Balmoral Beach Hill,1624979,James,,Mosman,-33.82221,151.24368,Entire home/apt,267,1,244,2022-08-16,2.08,1,284,43,PID-STRA-17912
873817,QUIRKY WAY ROZELLE  artist's house,2198824,Skye,,Leichhardt,-33.86449,151.17325,Entire home/apt,270,4,68,2022-03-05,0.62,2,352,2,PID-STRA-13935
1434367,Best Sydney Harbour views- 2 bedroom apartment,7709334,Bashi,,Sydney,-33.866,151.22864,Entire home/apt,296,90,0,,,1,364,0,PID-STRA-45693
877757,Beach/Airport. 1 or 2 bedrooms,4638388,Michelle,,Rockdale,-33.98874,151.14479,Private room,40,90,137,2018-10-01,1.18,2,0,0,
499631,Lugarno Lodge Garden Apartment,2465634,Steven,,Hurstville,-33.98516,151.03709,Entire home/apt,75,14,39,2022-08-13,0.34,1,283,8,PID-STRA-6335
1434484,2 Bdrm Penthouse w/ Stunning views,3486115,Ky,,Randwick,-33.90733,151.21804,Entire home/apt,140,90,13,2018-12-31,0.12,1,0,0,
